time,reward,release
0,3.0,17
1,8.0,0
2,0.0,13
5,12.0,0
10,0.0,0
11,0.0,20
12,0.0,10
13,0.0,15
15,0.0,0
18,0.0,0
20,0.0,0
22,0.0,0
24,0.0,0
25,0.0,0
27,0.0,0
30,0.0,0
31,0.0,0
32,1.0,0
33,3.0,0
36,0.0,4
40,8.0,0
41,0.0,5
44,0.0,4
45,0.0,9
48,0.0,0
49,0.0,0
50,0.0,10
51,0.0,10
58,0.0,0
59,4.0,0
60,0.0,0
61,0.0,10
63,0.0,15
68,0.0,0
69,0.0,0
70,0.0,6
73,10.0,0
79,0.0,0
80,0.0,0
83,16.0,0
89,0.0,0
90,0.0,0
93,10.0,0
99,0.0,0
100,0.0,0
102,0.0,0
103,0.0,0
107,0.0,0
109,6.0,0
112,0.0,0
114,0.0,0
115,0.0,0
119,10.0,0
121,0.0,0
125,0.0,0
129,10.0,0
131,0.0,10
134,0.0,0
135,0.0,0
139,3.0,0
141,0.0,0
142,0.0,2
145,0.0,0
149,0.0,0
150,0.0,10
151,10.0,0
154,0.0,0
155,0.0,10
157,0.0,0
161,6.0,0
162,0.0,0
163,0.0,0
167,9.0,0
172,0.0,4
173,0.0,10
174,0.0,13
176,0.0,0
177,10.0,0
183,10.0,0
186,0.0,0
187,0.0,0
193,10.0,0
194,0.0,4
197,1.0,0
198,10.0,0
203,0.0,0
207,0.0,0
208,10.0,0
211,10.0,0
218,4.0,0
221,6.0,0
222,0.0,13
223,0.0,10
227,0.0,0
228,0.0,0
230,0.0,0
231,0.0,10
234,0.0,0
238,0.0,0
240,0.0,10
241,0.0,10
242,0.0,1
244,0.0,0
250,0.0,0
251,0.0,0
252,0.0,0
254,0.0,0
259,0.0,0
260,0.0,0
261,0.0,0
262,0.0,4
263,0.0,0
271,11.0,0
273,0.0,7
275,5.0,0
276,0.0,8
278,1.0,0
279,18.0,0
280,0.0,0
286,0.0,0
288,8.0,0
289,10.0,0
294,0.0,0
296,0.0,0
298,0.0,0
299,9.0,0
306,10.0,0
307,0.0,0
308,10.0,0
316,0.0,0
317,0.0,0
318,10.0,0
319,0.0,0
320,0.0,0
326,0.0,0
328,10.0,0
330,0.0,0
332,10.0,0
336,0.0,4
337,0.0,0
338,19.0,0
342,2.0,0
344,10.0,0
347,0.0,0
348,0.0,0
350,0.0,0
354,10.0,0
358,10.0,0
364,10.0,0
368,10.0,0
369,0.0,0
374,0.0,0
377,0.0,0
378,10.0,0
379,0.0,0
381,0.0,0
382,0.0,0
388,10.0,4
391,0.0,0
392,0.0,0
398,10.0,0
401,0.0,0
402,0.0,0
403,0.0,0
408,0.0,0
411,0.0,0
412,0.0,0
413,0.0,0
414,0.0,0
415,0.0,0
421,0.0,0
422,0.0,0
423,0.0,0
424,0.0,0
427,0.0,0
429,0.0,0
433,20.0,0
439,0.0,0
443,27.0,0
450,0.0,0
453,30.0,0
463,17.0,0
470,10.0,0
473,0.0,0
480,0.0,0
504,2.0,0
506,21.0,0
509,0.0,0
514,4.0,0
516,10.0,10
518,0.0,0
520,0.0,0
521,0.0,0
526,0.0,0
528,0.0,0
530,0.0,15
531,0.0,10
536,13.0,0
542,0.0,0
543,0.0,0
546,5.0,0
547,1.0,0
548,0.0,0
550,0.0,0
553,0.0,0
554,0.0,0
555,0.0,0
562,16.0,0
565,0.0,0
567,0.0,0
568,0.0,0
570,0.0,0
572,0.0,0
577,5.0,0
578,0.0,0
581,0.0,0
582,0.0,0
584,0.0,0
587,0.0,0
588,0.0,0
591,0.0,0
592,0.0,0
593,0.0,0
598,0.0,0
601,1.0,0
602,7.0,0
603,1.0,0
604,0.0,0
605,0.0,0
609,8.0,0
610,0.0,0
611,1.0,0
612,3.0,0
615,0.0,0
617,0.0,0
619,0.0,0
621,0.0,0
622,0.0,0
623,17.0,0
627,0.0,0
630,0.0,0
633,10.0,0
637,10.0,0
640,0.0,0
643,0.0,0
647,10.0,0
649,11.0,0
650,0.0,0
657,3.0,0
659,6.0,0
660,9.0,0
665,0.0,4
669,0.0,8
672,11.0,0
674,13.0,0
677,0.0,0
681,0.0,0
684,10.0,0
685,0.0,0
689,0.0,0
691,4.0,0
694,0.0,0
695,6.0,0
697,0.0,0
699,0.0,0
701,10.0,0
706,0.0,0
707,0.0,0
711,9.0,0
712,0.0,0
716,0.0,0
720,0.0,0
721,0.0,0
722,0.0,10
726,0.0,0
730,0.0,0
731,0.0,0
732,0.0,0
736,10.0,0
740,0.0,0
742,0.0,0
746,7.0,0
750,0.0,0
752,0.0,0
753,0.0,0
756,10.0,0
760,0.0,0
762,10.0,0
766,10.0,0
772,7.0,0
776,10.0,0
779,0.0,0
782,10.0,0
786,0.0,0
792,0.0,0
819,4.0,0
823,10.0,0
828,0.0,0
833,10.0,0
837,10.0,0
843,2.0,0
845,0.0,13
847,10.0,0
850,0.0,0
853,0.0,0
855,0.0,0
857,10.0,0
862,8.0,0
865,0.0,0
867,0.0,0
870,10.0,0
872,0.0,0
875,0.0,0
880,10.0,0
882,0.0,0
885,0.0,0
890,20.0,0
892,0.0,0
900,24.0,0
904,0.0,0
909,0.0,0
910,16.0,0
916,10.0,0
920,3.0,0
923,4.0,0
926,0.0,22
927,20.0,0
932,0.0,0
937,0.0,4
942,0.0,0
947,0.0,0
952,0.0,0
957,7.0,0
964,0.0,0
1008,11.0,0
1010,13.0,0
1013,0.0,0
1017,0.0,0
1020,10.0,0
1021,0.0,0
1023,0.0,0
1025,0.0,0
1027,0.0,0
1030,0.0,0
1031,0.0,0
1033,0.0,0
1035,0.0,0
1037,0.0,0
1040,0.0,0
1041,0.0,0
1043,0.0,0
1045,0.0,0
1046,0.0,0
1050,0.0,0
1051,0.0,0
1053,0.0,0
1056,0.0,0
1060,0.0,0
1061,0.0,0
1063,0.0,0
1066,0.0,0
1070,10.0,0
1071,0.0,0
1072,0.0,0
1080,10.0,0
1081,0.0,0
1082,0.0,0
1090,10.0,0
1091,0.0,0
1092,0.0,0
1096,0.0,0
1097,0.0,0
1098,10.0,0
1100,20.0,0
1108,0.0,0
1109,7.0,0
1110,7.0,0
1116,0.0,0
1117,3.0,0
1119,10.0,0
1120,0.0,10
1122,0.0,0
1127,9.0,0
1129,10.0,0
1132,0.0,0
1136,0.0,0
1139,10.0,0
1142,0.0,0
1146,0.0,0
1147,0.0,0
1148,0.0,0
1149,0.0,0
1150,0.0,0
1156,0.0,0
1157,0.0,0
1158,0.0,0
1159,1.0,0
1160,18.0,0
1166,0.0,0
1168,10.0,0
1170,0.0,0
1175,0.0,0
1178,2.0,0
1179,0.0,0
1180,0.0,0
1184,0.0,0
1185,0.0,0
1188,0.0,0
1189,0.0,0
1190,8.0,0
1192,0.0,0
1195,0.0,0
1196,0.0,0
1198,0.0,0
1200,0.0,0
1202,0.0,0
1205,0.0,0
1206,1.0,0
1207,10.0,0
1208,0.0,0
1209,0.0,0
1210,0.0,0
1217,0.0,0
1218,0.0,0
1219,0.0,0
1220,0.0,0
1224,0.0,0
1227,9.0,0
1228,3.0,0
1231,10.0,0
1236,5.0,0
1237,0.0,0
1240,13.0,0
1241,6.0,0
1246,4.0,0
1247,0.0,0
1250,15.0,0
1255,0.0,8
1260,0.0,0
1265,0.0,22
1270,0.0,0
1275,10.0,0
1285,7.0,0
1292,0.0,0
1344,11.0,0
1346,8.0,0
1349,0.0,0
1351,0.0,0
1353,0.0,0
1356,0.0,0
1357,0.0,0
1361,4.0,0
1363,0.0,0
1365,0.0,0
1366,3.0,0
1369,16.0,0
1375,0.0,0
1376,0.0,0
1379,9.0,0
1381,0.0,0
1385,0.0,0
1386,10.0,0
1388,0.0,10
1395,0.0,0
1396,10.0,0
1398,0.0,0
1405,0.0,0
1406,10.0,0
1408,0.0,0
1414,0.0,0
1416,10.0,0
1418,0.0,0
1424,0.0,0
1425,0.0,0
1426,9.0,0
1430,0.0,0
1435,10.0,0
1436,0.0,0
1440,0.0,0
1445,20.0,0
1450,0.0,0
1455,18.0,0
1460,0.0,0
1462,0.0,0
1463,0.0,0
1465,0.0,0
