Seed,Uti
48,3.4
49,3.5
53,3.3
1,3.6
0,3.7
50,3.4
55,3.6
38,3.5
51,3.2
59,3.5
2,3.6
36,3.4
52,3.3
62,3.5
58,3.4
57,3.4
37,3.5
61,3.5
63,3.6
32,3.6
56,3.4
7,3.6
4,3.5
3,3.2
34,3.4
54,3.3
9,3.6
41,3.4
40,3.5
60,3.4
28,3.6
5,3.3
8,3.4
15,3.5
6,3.3
35,3.4
10,3.4
47,3.5
26,3.3
18,3.3
43,3.5
23,3.4
16,3.6
19,3.4
11,3.4
12,3.4
33,3.2
42,3.5
30,3.5
24,3.3
21,3.5
39,3.3
14,3.3
17,3.4
13,3.4
27,3.3
22,3.2
44,3.4
45,3.3
64,3.5
46,3.4
99,3.6
65,3.6
20,3.3
31,3.4
102,3.6
96,3.6
100,3.6
97,3.5
103,3.6
71,3.6
98,3.2
69,3.7
101,3.5
108,3.6
105,3.2
68,3.4
66,3.4
67,3.3
106,3.6
72,3.6
104,3.5
74,3.4
73,3.5
112,3.6
78,3.6
109,3.5
29,3.5
76,3.5
107,3.5
113,3.6
75,3.4
118,3.6
70,3.2
111,3.2
83,3.5
115,3.6
117,3.7
110,3.4
81,3.6
25,3.3
114,3.4
77,3.4
86,3.4
87,3.5
116,3.6
119,3.5
82,3.4
79,3.3
121,3.4
120,3.5
95,3.6
88,3.5
80,3.5
122,3.7
89,3.3
123,3.4
84,3.6
91,3.5
85,3.2
93,3.4
126,3.5
92,3.6
125,3.5
127,3.4
129,3.2
90,3.3
169,3.5
124,3.5
170,3.6
132,3.5
128,3.4
130,3.4
134,3.4
133,3.3
171,3.4
168,3.4
137,3.6
159,3.5
94,3.5
152,3.6
131,3.3
158,3.5
139,3.5
173,3.3
174,3.4
136,3.4
153,3.4
176,3.5
141,3.4
146,3.5
155,3.5
138,3.6
135,3.3
172,3.3
156,3.2
140,3.4
178,3.3
175,3.2
154,3.5
157,3.5
180,3.6
142,3.3
177,3.3
163,3.3
167,3.5
145,3.6
179,3.3
183,3.5
148,3.6
186,3.5
181,3.5
160,3.4
185,3.6
161,3.4
144,3.4
147,3.4
143,3.4
149,3.6
182,3.4
165,3.3
162,3.1
164,3.3
187,3.5
166,3.4
191,3.4
216,3.4
188,3.6
217,3.6
218,3.5
220,3.6
194,3.6
189,3.5
190,3.5
151,3.3
184,3.2
219,3.1
221,3.4
223,3.4
193,3.5
227,3.5
230,3.4
236,3.8
196,3.6
195,3.4
231,3.6
224,3.1
233,3.6
226,3.0
192,3.4
229,3.5
222,3.3
199,3.4
232,3.5
237,3.8
228,3.4
234,3.3
201,3.5
238,3.4
242,3.6
150,3.2
225,3.2
235,3.5
197,3.4
204,3.6
243,3.3
203,3.5
198,3.3
240,3.3
241,3.6
212,3.6
208,3.5
239,3.3
207,3.4
215,3.5
209,3.6
211,3.4
205,3.3
214,3.5
202,3.2
245,3.3
210,3.3
206,3.4
246,3.4
244,3.3
249,3.3
278,3.6
254,3.5
288,3.5
276,3.6
248,3.2
253,3.5
250,3.4
252,3.4
251,3.5
290,3.5
279,3.5
257,3.3
277,3.6
294,3.6
291,3.3
289,3.5
262,3.7
274,3.4
213,3.3
293,3.4
258,3.4
255,3.3
260,3.4
263,3.3
273,3.5
297,3.5
301,3.6
296,3.6
266,3.5
200,3.4
292,3.4
298,3.6
275,3.4
295,3.3
283,3.5
300,3.3
261,3.3
264,3.4
267,3.4
268,3.4
269,3.5
281,3.5
280,3.5
299,3.3
271,3.3
302,3.3
285,3.2
282,3.5
265,3.6
336,3.7
247,3.1
305,3.6
303,3.2
286,3.6
306,3.5
287,3.4
284,3.4
304,3.4
