seed,uti,schedulable
51,1.5,True
51,1.6,True
51,1.7,True
51,1.8,True
51,1.9,True
3,1.5,True
3,1.9,True
3,1.6,True
3,1.8,True
3,1.7,True
33,1.5,True
33,1.8,True
33,1.9,True
33,1.6,True
33,1.7,True
22,1.5,True
22,1.8,True
22,1.9,True
22,1.7,True
22,1.6,True
98,1.5,True
98,1.8,True
98,1.9,True
98,1.7,True
98,1.6,True
105,1.5,True
105,1.8,True
105,1.9,True
105,1.6,True
105,1.7,True
70,1.5,True
70,1.8,True
70,1.9,True
111,1.5,True
70,1.7,True
70,1.6,True
111,1.8,True
111,1.9,True
111,1.7,True
85,1.5,True
111,1.6,True
85,1.9,True
85,1.8,True
129,1.5,True
85,1.7,True
85,1.6,True
129,1.9,True
156,1.5,True
129,1.8,True
129,1.6,True
129,1.7,True
175,1.5,True
156,1.9,True
156,1.6,True
156,1.8,True
156,1.7,True
175,1.9,True
175,1.6,True
162,1.5,True
175,1.8,True
175,1.7,True
162,1.9,True
162,1.6,True
184,1.5,True
162,1.7,True
162,1.8,True
219,1.5,True
184,1.6,True
184,1.9,True
219,1.6,True
224,1.5,True
184,1.8,True
184,1.7,True
219,1.9,True
219,1.8,True
219,1.7,True
224,1.6,True
226,1.5,True
224,1.9,True
224,1.8,True
224,1.7,True
226,1.6,True
226,1.9,True
226,1.8,True
150,1.5,True
226,1.7,True
225,1.5,True
150,1.6,True
150,1.8,True
150,1.9,True
150,1.7,True
225,1.6,True
202,1.5,True
225,1.8,True
225,1.9,True
225,1.7,True
202,1.6,True
248,1.5,True
202,1.8,True
202,1.9,True
202,1.7,True
248,1.6,True
248,1.8,True
248,1.9,True
285,1.5,True
248,1.7,True
285,1.6,True
285,1.8,True
285,1.9,True
247,1.5,True
247,1.6,True
285,1.7,True
303,1.6,True
247,1.9,True
303,1.5,True
247,1.8,True
247,1.7,True
256,1.5,True
303,1.9,True
256,1.6,True
303,1.8,True
303,1.7,True
256,1.9,True
259,1.5,True
259,1.6,True
256,1.7,True
256,1.8,True
259,1.9,True
307,1.6,True
307,1.5,True
341,1.5,True
341,1.6,True
259,1.8,True
259,1.7,True
307,1.9,True
344,1.6,True
344,1.5,True
341,1.9,True
307,1.8,True
359,1.5,True
359,1.6,True
307,1.7,True
341,1.8,True
341,1.7,True
366,1.6,True
366,1.5,True
344,1.9,True
344,1.8,True
344,1.7,True
359,1.9,True
359,1.8,True
323,1.5,True
359,1.7,True
323,1.6,True
366,1.8,True
331,1.6,True
366,1.7,True
331,1.5,True
366,1.9,True
409,1.6,True
323,1.8,True
409,1.5,True
323,1.7,True
323,1.9,True
331,1.8,True
380,1.6,True
331,1.7,True
380,1.5,True
409,1.8,True
331,1.9,True
409,1.7,True
386,1.6,True
386,1.5,True
409,1.9,True
380,1.8,True
380,1.7,True
420,1.6,True
420,1.5,True
380,1.9,True
421,1.6,True
386,1.7,True
421,1.5,True
386,1.8,True
386,1.9,True
405,1.6,True
420,1.7,True
420,1.8,True
405,1.5,True
420,1.9,True
421,1.7,True
428,1.6,True
421,1.8,True
421,1.9,True
428,1.5,True
465,1.6,True
465,1.5,True
405,1.8,True
442,1.6,True
405,1.7,True
405,1.9,True
442,1.5,True
487,1.6,True
428,1.7,True
428,1.9,True
531,1.6,True
487,1.5,True
428,1.8,True
465,1.7,True
465,1.9,True
531,1.5,True
465,1.8,True
442,1.7,True
482,1.6,True
482,1.5,True
442,1.9,True
442,1.8,True
487,1.7,True
496,1.6,True
496,1.5,True
487,1.9,True
531,1.7,True
487,1.8,True
531,1.9,True
536,1.6,True
482,1.7,True
536,1.5,True
531,1.8,True
482,1.9,True
540,1.6,True
496,1.7,True
540,1.5,True
496,1.9,True
482,1.8,True
536,1.7,True
526,1.6,True
526,1.5,True
536,1.9,True
540,1.7,True
496,1.8,True
581,1.6,True
581,1.5,True
584,1.5,True
540,1.9,True
584,1.6,True
536,1.8,True
526,1.7,True
555,1.5,True
581,1.7,True
555,1.6,True
540,1.8,True
592,1.5,True
584,1.7,True
592,1.6,True
526,1.9,True
581,1.9,True
602,1.5,True
526,1.8,True
555,1.7,True
602,1.6,True
584,1.9,True
581,1.8,True
592,1.7,True
575,1.5,True
584,1.8,True
555,1.9,True
575,1.6,True
602,1.7,True
570,1.5,True
555,1.8,True
592,1.9,True
570,1.6,True
575,1.7,True
602,1.9,True
592,1.8,True
607,1.5,True
607,1.6,True
654,1.5,True
602,1.8,True
570,1.7,True
654,1.6,True
575,1.9,True
618,1.5,True
607,1.7,True
575,1.8,True
618,1.6,True
570,1.9,True
654,1.7,True
662,1.5,True
662,1.6,True
570,1.8,True
607,1.9,True
667,1.5,True
618,1.7,True
667,1.6,True
654,1.9,True
607,1.8,True
704,1.5,True
704,1.6,True
662,1.7,True
654,1.8,True
618,1.9,True
667,1.7,True
678,1.5,True
678,1.6,True
618,1.8,True
662,1.9,True
704,1.7,True
683,1.6,True
683,1.5,True
662,1.8,True
667,1.9,True
702,1.6,True
678,1.7,True
702,1.5,True
667,1.8,True
715,1.6,True
715,1.5,True
704,1.8,True
683,1.7,True
687,1.6,True
687,1.5,True
704,1.9,True
702,1.7,True
51,2.8,True
51,2.9,True
51,2.5,True
3,2.5,True
33,2.5,True
3,2.8,True
22,2.5,True
33,2.8,True
22,2.8,True
3,2.9,True
98,2.8,True
105,2.8,True
70,2.8,True
51,2.6,True
111,2.8,True
3,2.6,True
33,2.6,True
85,2.8,True
22,2.6,True
98,2.6,True
105,2.6,True
129,2.8,True
33,2.9,True
70,2.6,True
156,2.8,True
111,2.6,True
22,2.9,True
98,2.9,True
85,2.6,True
175,2.8,True
129,2.6,True
51,2.7,False
156,2.6,True
175,2.6,True
3,2.7,True
162,2.8,True
162,2.6,True
33,2.7,True
184,2.8,True
22,2.7,True
219,2.8,True
224,2.8,True
226,2.8,True
98,2.7,True
105,2.7,True
105,2.9,True
70,2.9,True
70,2.7,True
111,2.7,True
111,2.9,True
85,2.7,True
85,2.9,True
129,2.7,True
156,2.7,True
175,2.7,True
129,2.9,True
162,2.7,True
98,2.5,True
105,2.5,True
70,2.5,True
111,2.5,True
85,2.5,True
156,2.9,True
129,2.5,True
156,2.5,True
175,2.5,True
150,2.8,False
162,2.5,True
225,2.8,True
184,2.5,True
219,2.5,True
224,2.5,True
226,2.5,True
202,2.8,True
150,2.5,True
225,2.5,True
248,2.8,True
202,2.5,True
175,2.9,True
285,2.8,True
162,2.9,True
184,2.7,True
184,2.9,True
219,2.7,True
219,2.9,True
224,2.7,True
247,2.8,True
224,2.9,True
226,2.7,True
150,2.7,True
225,2.7,True
303,2.8,True
202,2.7,True
256,2.8,True
248,2.7,True
259,2.8,True
307,2.8,True
285,2.7,True
341,2.8,True
247,2.7,True
303,2.7,True
344,2.8,True
256,2.7,True
359,2.8,True
184,2.6,True
366,2.8,True
219,2.6,True
259,2.7,True
323,2.8,True
224,2.6,True
307,2.7,True
226,2.6,True
331,2.8,True
341,2.7,True
150,2.6,True
248,2.5,True
226,2.9,False
225,2.6,True
285,2.5,True
202,2.6,True
344,2.7,True
248,2.6,True
247,2.5,True
359,2.7,True
303,2.5,True
285,2.6,True
366,2.7,True
256,2.5,True
323,2.7,True
247,2.6,True
150,2.9,True
259,2.5,True
303,2.6,True
331,2.7,True
409,2.7,True
256,2.6,True
409,2.8,True
307,2.5,True
225,2.9,True
341,2.5,True
259,2.6,True
380,2.8,True
344,2.5,True
307,2.6,True
359,2.5,True
380,2.7,True
341,2.6,True
386,2.8,True
202,2.9,True
344,2.6,True
366,2.5,True
359,2.6,True
323,2.5,True
386,2.7,True
248,2.9,True
366,2.6,True
420,2.8,True
331,2.5,True
420,2.7,True
285,2.9,True
421,2.8,True
421,2.7,True
323,2.6,True
247,2.9,True
409,2.5,True
331,2.6,True
303,2.9,True
409,2.6,True
