seed,uti,schedulable
126,1.5,True
490,1.5,True
126,1.8,True
490,1.8,True
126,2.5,False
126,2.2,False
126,2.8,False
126,2.0,False
126,1.6,True
490,1.6,True
126,2.1,False
490,2.2,False
490,2.8,False
126,2.9,False
126,2.7,False
126,1.9,False
126,2.3,False
490,1.9,True
997,2.8,False
126,1.7,False
490,2.9,False
997,1.5,False
126,2.4,False
997,1.8,False
126,2.6,False
971,1.5,True
490,2.5,False
971,2.8,False
490,1.7,True
997,2.9,False
490,2.1,False
490,2.0,False
490,2.6,False
997,2.0,True
971,1.8,False
997,2.2,False
997,1.6,True
490,2.4,False
971,2.9,False
490,2.7,False
490,2.3,False
997,1.9,False
688,1.8,False
331,1.8,True
688,2.9,False
688,2.8,False
997,2.5,False
688,1.5,False
997,2.3,False
331,2.8,False
997,2.1,False
331,2.9,False
997,2.7,False
971,2.0,False
997,2.4,False
688,2.0,True
997,1.7,True
971,1.7,True
997,2.6,False
971,1.9,False
971,2.2,False
688,1.9,True
971,2.5,False
971,2.3,False
681,2.9,False
971,2.7,False
257,2.9,False
688,2.5,False
331,1.9,False
681,2.8,False
971,2.4,False
971,1.6,True
971,2.1,False
688,2.7,False
201,2.9,False
688,2.1,True
688,2.4,False
688,2.2,False
681,1.8,False
971,2.6,False
257,2.8,False
331,2.7,False
257,1.8,True
201,1.8,True
534,1.8,True
534,2.9,False
696,1.8,True
331,2.4,False
201,2.8,False
688,2.3,False
331,2.2,False
331,2.0,False
688,1.6,False
331,2.5,False
681,2.7,False
681,2.0,True
331,1.6,True
331,2.3,False
696,2.9,False
257,2.7,False
688,2.6,False
331,1.5,True
681,1.5,True
723,1.8,False
723,2.9,False
681,1.9,False
310,1.8,True
257,1.5,True
681,1.6,True
201,1.5,True
534,1.5,True
696,1.5,True
688,1.7,False
534,2.8,False
331,2.1,True
723,1.5,True
201,2.7,False
116,1.8,False
310,2.9,False
257,1.6,False
201,1.6,True
534,2.7,False
534,1.6,True
696,1.6,True
331,2.6,False
723,1.6,True
310,1.6,True
681,2.2,False
116,1.6,True
681,2.4,False
257,2.0,False
734,1.6,True
201,2.0,True
734,1.8,False
696,2.8,False
235,1.6,True
681,2.5,False
257,2.4,False
116,2.9,False
696,2.7,False
723,2.8,False
167,1.6,False
681,2.3,False
681,2.6,False
39,1.6,True
734,2.9,False
257,1.9,False
310,2.8,False
310,1.5,True
495,1.6,True
257,2.5,False
116,1.5,True
201,2.4,False
331,1.7,False
734,1.5,True
257,2.2,False
257,2.6,False
681,2.1,False
723,2.7,False
116,2.8,False
201,1.9,False
681,1.7,False
257,2.3,False
534,2.0,False
696,2.0,True
257,1.7,True
235,1.5,False
201,1.7,True
310,2.7,False
534,1.7,True
696,1.7,True
257,2.1,False
167,1.5,True
734,2.8,False
534,2.4,False
534,1.9,True
235,2.9,False
201,2.5,False
235,1.8,False
201,2.6,False
235,2.8,False
201,2.2,False
548,1.6,True
515,1.6,True
116,2.7,False
167,2.9,False
167,1.8,False
201,2.3,False
534,2.5,False
39,1.5,True
696,1.9,True
167,2.8,False
723,2.0,False
696,2.4,False
495,1.5,True
734,2.7,False
723,1.7,False
39,2.9,False
723,1.9,True
39,1.8,True
310,1.9,True
201,2.1,False
534,2.2,False
495,2.9,False
534,2.6,False
548,1.5,True
310,2.0,False
235,2.7,False
515,1.5,True
164,1.5,True
977,1.5,True
116,2.0,False
39,2.8,False
548,2.9,False
696,2.5,False
167,2.7,False
534,2.3,False
847,1.5,False
495,1.8,True
233,1.5,True
457,1.5,True
734,2.0,False
495,2.8,False
723,2.4,False
696,2.6,False
116,1.9,False
723,2.5,False
534,2.1,False
164,1.6,True
235,2.0,False
696,2.2,False
515,2.9,False
977,1.6,True
548,2.8,False
696,2.3,False
847,1.6,True
233,1.6,True
457,1.6,True
723,2.2,False
310,1.7,True
723,2.3,False
991,1.5,True
167,2.0,False
315,1.5,True
939,1.5,True
445,1.5,True
607,1.5,True
723,2.6,False
325,1.5,True
80,1.5,True
800,1.5,True
324,1.5,True
209,1.5,True
39,2.7,False
665,1.5,True
548,1.8,False
696,2.1,False
39,2.0,False
164,2.9,False
723,2.1,True
515,1.8,True
310,2.5,False
515,2.8,False
164,1.8,True
116,1.7,False
321,1.5,True
310,2.4,False
734,1.9,True
977,2.9,False
734,1.7,True
991,1.6,False
235,1.7,True
164,2.8,False
116,2.4,False
310,2.6,False
310,2.3,False
310,2.2,False
495,2.7,False
847,2.9,False
977,2.8,False
548,2.7,False
495,2.0,False
233,2.9,False
116,2.5,False
967,1.5,True
587,1.5,True
925,1.5,True
498,1.5,True
847,2.8,False
887,1.5,True
261,1.5,True
266,1.5,True
235,1.9,False
310,2.1,False
548,2.0,False
734,2.4,False
831,1.5,True
167,1.7,True
690,1.5,True
233,2.8,False
457,2.9,False
734,2.5,False
825,1.5,True
116,2.1,False
568,1.5,True
39,1.7,True
520,1.5,True
139,1.5,True
116,2.6,False
597,1.5,True
114,1.5,True
315,1.6,True
515,2.7,False
939,1.6,True
235,2.4,False
116,2.2,False
991,2.9,False
515,2.0,False
116,2.3,False
164,2.0,True
495,1.7,False
357,1.5,True
245,1.5,True
647,1.5,True
734,2.6,False
235,2.5,False
164,2.7,False
457,2.8,False
989,1.5,True
311,1.5,True
431,1.5,True
771,1.5,True
734,2.2,False
315,2.9,False
167,2.4,False
68,1.5,True
202,1.5,True
235,2.6,False
991,2.8,False
977,1.8,False
847,1.8,True
977,2.7,False
233,1.8,True
457,1.8,True
939,2.9,False
734,2.1,False
39,2.4,False
167,2.5,False
167,2.6,False
991,1.8,True
734,2.3,False
167,1.9,False
315,2.8,False
315,1.8,True
495,2.4,False
847,2.7,False
39,2.6,False
445,2.9,False
727,1.5,False
939,2.8,False
445,1.6,False
607,2.9,False
39,2.5,False
607,1.6,True
495,2.6,False
548,2.4,False
325,1.6,True
235,2.2,False
445,2.8,False
548,1.7,False
235,2.3,False
495,2.5,False
235,2.1,False
548,2.6,False
325,2.9,False
515,1.7,True
233,2.7,False
515,2.4,False
548,2.5,False
977,2.0,False
939,1.8,False
607,2.8,False
39,1.9,False
167,2.1,False
495,1.9,True
80,2.9,False
167,2.2,False
164,1.7,True
548,1.9,True
847,2.0,False
977,1.7,True
515,2.5,False
233,2.0,True
39,2.1,True
167,2.3,False
800,2.9,False
325,2.8,False
164,2.4,False
457,2.0,True
445,1.8,False
457,2.7,False
164,2.5,False
80,1.6,True
956,1.5,True
607,1.8,True
991,2.0,False
515,2.6,False
324,2.9,False
39,2.2,True
847,1.7,False
991,2.7,False
233,1.7,True
457,1.7,True
495,2.1,False
164,2.6,False
209,2.9,False
800,1.6,False
324,1.6,True
209,1.6,True
977,2.4,False
977,2.5,False
977,2.6,False
665,1.6,True
321,1.6,True
39,2.3,False
967,1.6,True
315,2.7,False
495,2.2,False
515,1.9,False
529,1.5,False
276,1.5,True
400,1.5,True
238,1.5,True
210,1.5,True
665,2.9,False
315,2.0,False
847,2.6,False
587,1.6,False
925,1.6,True
548,2.1,False
847,2.4,False
498,1.6,True
495,2.3,False
164,1.9,False
321,2.9,False
877,1.5,True
80,2.8,False
325,1.8,False
80,1.8,True
887,1.6,True
800,1.8,True
261,1.6,True
847,2.5,False
548,2.3,False
939,2.7,False
977,1.9,True
233,2.6,False
548,2.2,False
