seed,uti,schedulable
126,2.5,True
490,2.5,True
126,2.6,True
997,2.5,True
971,2.5,True
490,2.6,True
688,2.5,True
331,2.5,True
681,2.5,True
997,2.6,False
971,2.6,True
257,2.5,False
201,2.5,True
534,2.5,True
696,2.5,True
688,2.6,True
723,2.5,True
331,2.6,True
681,2.6,True
310,2.5,True
116,2.5,True
734,2.5,True
257,2.6,True
235,2.5,True
201,2.6,True
167,2.5,True
39,2.5,True
534,2.6,True
495,2.5,True
548,2.5,True
696,2.6,True
515,2.5,True
164,2.5,True
977,2.5,True
847,2.5,True
233,2.5,True
126,2.7,True
723,2.6,True
310,2.6,True
116,2.6,True
490,2.7,True
997,2.7,True
971,2.7,True
734,2.6,False
235,2.6,True
688,2.7,True
167,2.6,True
39,2.6,True
331,2.7,True
495,2.6,True
548,2.6,True
515,2.6,True
681,2.7,False
164,2.6,True
977,2.6,True
847,2.6,True
233,2.6,True
257,2.7,True
201,2.7,True
534,2.7,True
696,2.7,True
723,2.7,True
126,2.8,True
310,2.7,True
116,2.7,True
490,2.8,True
997,2.8,True
971,2.8,True
688,2.8,True
331,2.8,True
681,2.8,True
257,2.8,True
734,2.7,False
235,2.7,True
167,2.7,True
39,2.7,True
201,2.8,True
534,2.8,True
696,2.8,True
723,2.8,True
310,2.8,True
116,2.8,True
734,2.8,True
495,2.7,True
548,2.7,True
235,2.8,True
167,2.8,True
39,2.8,True
515,2.7,True
164,2.7,True
977,2.7,True
847,2.7,True
495,2.8,True
233,2.7,True
126,2.9,True
490,2.9,True
548,2.8,True
515,2.8,True
997,2.9,True
971,2.9,True
688,2.9,True
164,2.8,True
331,2.9,True
681,2.9,True
257,2.9,True
201,2.9,True
977,2.8,False
534,2.9,True
696,2.9,True
847,2.8,True
233,2.8,True
723,2.9,False
126,3.0,True
490,3.0,True
997,3.0,True
310,2.9,True
971,3.0,False
688,3.0,True
331,3.0,True
116,2.9,True
734,2.9,True
235,2.9,True
681,3.0,False
167,2.9,True
39,2.9,True
257,3.0,False
201,3.0,True
534,3.0,True
495,2.9,False
696,3.0,True
548,2.9,True
723,3.0,True
515,2.9,True
164,2.9,True
977,2.9,True
310,3.0,False
847,2.9,True
233,2.9,True
116,3.0,False
126,3.1,False
734,3.0,True
235,3.0,True
490,3.1,False
997,3.1,True
167,3.0,True
971,3.1,True
39,3.0,True
495,3.0,True
548,3.0,True
688,3.1,True
331,3.1,True
515,3.0,True
164,3.0,False
681,3.1,True
977,3.0,True
847,3.0,True
233,3.0,True
257,3.1,False
201,3.1,False
126,3.2,False
490,3.2,True
997,3.2,True
534,3.1,True
696,3.1,True
723,3.1,True
971,3.2,True
688,3.2,True
310,3.1,True
116,3.1,True
734,3.1,True
235,3.1,True
331,3.2,True
167,3.1,True
681,3.2,False
39,3.1,True
257,3.2,True
201,3.2,True
495,3.1,False
548,3.1,True
515,3.1,True
164,3.1,True
977,3.1,True
534,3.2,False
847,3.1,True
696,3.2,False
233,3.1,True
723,3.2,True
310,3.2,True
126,3.3,True
490,3.3,True
116,3.2,True
997,3.3,True
971,3.3,True
734,3.2,True
235,3.2,True
167,3.2,True
39,3.2,True
331,3.3,False
495,3.2,False
681,3.3,True
257,3.3,True
201,3.3,False
548,3.2,True
534,3.3,True
696,3.3,True
515,3.2,True
164,3.2,True
977,3.2,True
723,3.3,True
310,3.3,True
847,3.2,False
233,3.2,True
116,3.3,True
734,3.3,True
126,3.4,False
235,3.3,False
490,3.4,False
167,3.3,True
39,3.3,True
997,3.4,True
495,3.3,False
971,3.4,False
548,3.3,True
515,3.3,True
164,3.3,True
688,3.4,False
977,3.3,True
847,3.3,False
331,3.4,False
233,3.3,False
681,3.4,False
126,3.5,True
490,3.5,True
257,3.4,False
201,3.4,True
997,3.5,False
534,3.4,True
971,3.5,True
696,3.4,True
723,3.4,True
310,3.4,False
116,3.4,False
688,3.5,False
734,3.4,False
331,3.5,True
681,3.5,True
235,3.4,True
257,3.5,False
201,3.5,True
167,3.4,False
39,3.4,True
534,3.5,False
495,3.4,True
548,3.4,True
515,3.4,True
696,3.5,False
723,3.5,True
310,3.5,False
116,3.5,True
164,3.4,False
977,3.4,False
734,3.5,False
235,3.5,True
847,3.4,False
167,3.5,False
39,3.5,True
233,3.4,False
495,3.5,True
126,3.6,True
490,3.6,True
548,3.5,True
997,3.6,True
515,3.5,True
164,3.5,True
688,3.6,False
977,3.5,False
331,3.6,False
847,3.5,False
233,3.5,False
681,3.6,False
126,3.7,False
257,3.6,False
490,3.7,False
201,3.6,False
997,3.7,False
534,3.6,False
971,3.7,False
688,3.7,False
696,3.6,False
723,3.6,True
331,3.7,False
310,3.6,False
116,3.6,False
681,3.7,False
734,3.6,False
257,3.7,False
235,3.6,False
201,3.7,False
167,3.6,False
534,3.7,False
39,3.6,False
696,3.7,False
495,3.6,False
723,3.7,False
548,3.6,False
515,3.6,False
310,3.7,False
116,3.7,False
164,3.6,False
734,3.7,False
977,3.6,False
235,3.7,False
847,3.6,False
233,3.6,True
167,3.7,False
126,3.8,False
490,3.8,False
495,3.7,True
997,3.8,False
548,3.7,True
971,3.8,False
515,3.7,False
164,3.7,False
688,3.8,False
977,3.7,False
331,3.8,False
681,3.8,False
257,3.8,False
233,3.7,False
201,3.8,False
534,3.8,False
126,3.9,False
490,3.9,False
696,3.8,False
997,3.9,False
723,3.8,False
971,3.9,False
310,3.8,False
688,3.9,False
116,3.8,False
734,3.8,False
681,3.9,False
257,3.9,False
235,3.8,False
201,3.9,False
167,3.8,False
39,3.8,True
534,3.9,False
495,3.8,False
696,3.9,False
723,3.9,False
548,3.8,False
515,3.8,True
310,3.9,False
116,3.9,False
164,3.8,False
734,3.9,False
977,3.8,False
847,3.8,False
233,3.8,False
39,3.9,False
495,3.9,False
515,3.9,False
164,3.9,False
977,3.9,False
847,3.9,False
233,3.9,False
