seed,uti,schedulable
126,2.5,True
126,2.6,True
490,2.5,True
490,2.6,True
997,2.5,True
971,2.5,True
688,2.5,True
331,2.5,True
681,2.5,True
257,2.5,True
201,2.5,True
534,2.5,True
696,2.5,True
997,2.6,True
723,2.5,True
971,2.6,True
688,2.6,True
331,2.6,True
310,2.5,False
681,2.6,True
257,2.6,True
116,2.5,True
201,2.6,True
534,2.6,False
696,2.6,True
723,2.6,True
734,2.5,False
235,2.5,True
310,2.6,True
167,2.5,True
39,2.5,True
495,2.5,True
548,2.5,True
515,2.5,True
164,2.5,True
977,2.5,True
847,2.5,True
233,2.5,True
457,2.5,True
116,2.6,False
991,2.5,True
734,2.6,True
235,2.6,True
167,2.6,True
315,2.5,True
939,2.5,True
39,2.6,True
445,2.5,True
495,2.6,True
607,2.5,True
548,2.6,True
325,2.5,True
80,2.5,True
800,2.5,True
515,2.6,True
324,2.5,True
164,2.6,True
209,2.5,True
977,2.6,True
847,2.6,True
665,2.5,True
233,2.6,True
457,2.6,True
321,2.5,True
967,2.5,True
587,2.5,True
925,2.5,True
498,2.5,True
887,2.5,True
991,2.6,False
315,2.6,True
261,2.5,True
939,2.6,True
445,2.6,True
266,2.5,True
607,2.6,True
831,2.5,True
325,2.6,True
690,2.5,True
80,2.6,True
800,2.6,True
324,2.6,True
209,2.6,True
825,2.5,True
568,2.5,True
665,2.6,True
520,2.5,True
126,2.7,True
490,2.7,True
997,2.7,True
321,2.6,False
967,2.6,True
587,2.6,True
925,2.6,True
498,2.6,True
971,2.7,False
887,2.6,True
688,2.7,True
261,2.6,True
331,2.7,True
681,2.7,True
257,2.7,True
201,2.7,True
534,2.7,True
696,2.7,True
266,2.6,True
723,2.7,True
831,2.6,True
310,2.7,True
690,2.6,True
825,2.6,True
568,2.6,True
520,2.6,True
126,2.8,True
490,2.8,True
997,2.8,True
116,2.7,True
734,2.7,True
235,2.7,True
971,2.8,False
688,2.8,True
167,2.7,True
331,2.8,True
681,2.8,True
257,2.8,True
201,2.8,True
534,2.8,True
696,2.8,True
723,2.8,True
39,2.7,True
495,2.7,True
548,2.7,True
310,2.8,False
515,2.7,False
164,2.7,True
977,2.7,True
847,2.7,True
233,2.7,True
457,2.7,True
116,2.8,True
734,2.8,True
235,2.8,True
991,2.7,True
315,2.7,True
939,2.7,True
445,2.7,True
167,2.8,True
607,2.7,True
39,2.8,True
325,2.7,True
80,2.7,True
800,2.7,True
324,2.7,True
209,2.7,True
665,2.7,True
495,2.8,False
321,2.7,True
548,2.8,True
515,2.8,True
967,2.7,True
587,2.7,True
925,2.7,True
498,2.7,True
887,2.7,True
261,2.7,True
164,2.8,False
977,2.8,True
847,2.8,True
233,2.8,True
457,2.8,True
266,2.7,False
831,2.7,True
690,2.7,True
991,2.8,False
825,2.7,True
315,2.8,True
939,2.8,True
568,2.7,True
520,2.7,True
126,2.9,True
445,2.8,False
607,2.8,True
325,2.8,True
490,2.9,False
997,2.9,True
80,2.8,True
800,2.8,True
324,2.8,True
209,2.8,True
665,2.8,True
321,2.8,True
967,2.8,True
971,2.9,False
587,2.8,True
925,2.8,True
688,2.9,True
