seed,uti,schedulable
997,5.0,True
126,3.0,True
126,5.0,True
126,5.8,True
126,6.4,True
126,5.4,True
490,5.6,True
126,5.2,False
126,7.4,False
971,5.8,False
688,5.0,False
331,5.6,False
688,5.4,False
331,5.0,False
490,7.8,False
696,5.0,True
997,7.4,False
688,6.6,False
971,6.8,False
696,5.8,True
688,7.0,False
997,7.8,False
490,6.0,False
971,7.6,False
939,5.0,True
331,6.8,False
688,6.4,False
688,6.0,False
696,5.2,True
457,6.2,True
548,5.4,False
688,7.8,False
681,6.8,False
688,7.4,False
997,7.2,False
331,7.8,False
257,6.6,False
331,7.4,False
825,6.8,False
257,7.6,False
681,7.8,False
233,5.8,False
665,5.0,False
723,6.0,False
723,6.4,False
681,7.4,False
257,7.0,False
696,7.6,False
257,7.8,False
114,6.8,False
800,6.2,False
445,6.4,False
310,6.6,False
534,7.0,False
39,5.6,False
723,7.6,False
257,7.4,False
534,7.8,False
164,5.4,False
887,5.8,False
534,7.4,False
723,7.8,False
266,6.6,False
457,5.4,True
847,5.6,False
266,5.8,False
324,6.4,False
310,7.6,False
939,5.6,True
734,7.2,False
116,7.6,False
723,7.0,False
696,7.4,False
800,5.6,False
