seed,uti,schedulable
126,6.0,True
490,6.0,False
997,6.0,True
971,6.0,True
688,6.0,False
126,6.0,True
490,6.0,False
997,6.0,False
971,6.0,True
331,6.0,True
681,6.0,False
257,6.0,False
201,6.0,True
534,6.0,True
696,6.0,True
723,6.0,True
310,6.0,True
116,6.0,True
734,6.0,True
235,6.0,True
39,6.0,True
548,6.0,False
515,6.0,True
164,6.0,True
977,6.0,True
847,6.0,True
233,6.0,True
457,6.0,True
991,6.0,True
315,6.0,True
939,6.0,True
445,6.0,False
607,6.0,True
325,6.0,True
80,6.0,True
800,6.0,True
324,6.0,True
209,6.0,True
665,6.0,True
321,6.0,True
967,6.0,True
587,6.0,True
925,6.0,False
498,6.0,True
887,6.0,True
261,6.0,True
266,6.0,True
831,6.0,True
690,6.0,False
825,6.0,True
568,6.0,False
520,6.0,True
139,6.0,True
597,6.0,True
114,6.0,False
357,6.0,True
245,6.0,False
647,6.0,False
989,6.0,True
311,6.0,True
431,6.0,False
771,6.0,True
68,6.0,True
202,6.0,True
727,6.0,True
956,6.0,True
529,6.0,True
276,6.0,True
400,6.0,True
238,6.0,False
210,6.0,False
877,6.0,True
735,6.0,False
788,6.0,False
379,6.0,True
615,6.0,True
795,6.0,True
888,6.0,True
81,6.0,True
193,6.0,True
616,6.0,False
496,6.0,True
309,6.0,True
226,6.0,True
878,6.0,True
439,6.0,False
93,6.0,False
964,6.0,True
89,6.0,True
337,6.0,True
214,6.0,False
476,6.0,True
872,6.0,True
767,6.0,True
653,6.0,True
643,6.0,True
359,6.0,True
937,6.0,True
769,6.0,True
850,6.0,True
316,6.0,True
94,6.0,False
