seed,uti,schedulable
257,5.0,False
164,5.0,False
800,5.0,False
324,5.0,False
261,5.0,False
615,5.0,False
439,5.0,False
964,5.0,False
126,7.0,False
490,7.0,False
688,7.0,False
331,7.0,False
257,7.0,False
201,7.0,False
696,7.0,False
310,7.0,False
116,7.0,False
235,7.0,False
39,7.0,False
495,7.0,False
548,7.0,False
847,7.0,False
126,5.2,False
315,7.0,False
939,7.0,False
971,5.2,False
325,7.0,False
209,7.0,False
321,7.0,False
587,7.0,False
925,7.0,False
887,7.0,False
825,7.0,False
139,7.0,False
925,5.2,False
357,7.0,False
690,5.2,False
647,7.0,False
568,5.2,False
68,7.0,False
202,7.0,False
727,7.0,False
529,7.0,False
276,7.0,False
400,7.0,False
238,7.0,False
276,5.2,False
210,7.0,False
735,7.0,False
400,5.2,False
615,7.0,False
81,7.0,False
210,5.2,False
496,7.0,False
226,7.0,False
93,7.0,False
872,7.0,False
767,7.0,False
643,7.0,False
359,7.0,False
769,7.0,False
93,5.2,False
997,5.4,False
971,5.6,False
688,5.6,False
688,5.4,False
331,5.6,False
331,5.4,False
681,5.6,False
39,5.6,False
734,5.4,False
495,5.6,False
548,5.6,False
39,5.4,False
164,5.6,False
515,5.4,False
325,5.6,False
324,5.6,False
126,7.6,False
126,7.8,False
490,7.6,False
321,5.4,False
490,7.8,False
997,7.6,False
997,7.8,False
971,7.8,False
971,7.6,False
690,5.6,False
688,7.6,False
688,7.8,False
690,5.4,False
331,7.8,False
331,7.6,False
681,7.8,False
520,5.4,False
681,7.6,False
257,7.6,False
245,5.6,False
201,7.8,False
201,7.6,False
357,5.4,False
534,7.8,False
534,7.6,False
989,5.6,False
696,7.8,False
696,7.6,False
647,5.4,False
723,7.8,False
723,7.6,False
310,7.8,False
956,5.6,False
116,7.6,False
116,7.8,False
734,7.6,False
210,5.6,False
400,5.4,False
235,7.8,False
235,7.6,False
735,5.6,False
167,7.8,False
238,5.4,False
167,7.6,False
39,7.8,False
39,7.6,False
877,5.4,False
615,5.6,False
495,7.8,False
495,7.6,False
548,7.8,False
795,5.6,False
548,7.6,False
515,7.8,False
888,5.6,False
515,7.6,False
164,7.8,False
164,7.6,False
888,5.4,False
977,7.6,False
616,5.6,False
847,7.8,False
847,7.6,False
233,7.8,False
233,7.6,False
457,7.8,False
457,7.6,False
93,5.4,False
991,7.6,False
315,7.8,False
964,5.4,False
315,7.6,False
939,7.8,False
939,7.6,False
445,7.8,False
445,7.6,False
607,7.8,False
607,7.6,False
325,7.8,False
643,5.4,False
325,7.6,False
359,5.4,False
800,7.8,False
80,7.6,False
800,7.6,False
490,5.8,False
324,7.8,False
324,7.6,False
997,5.8,False
209,7.8,False
126,6.2,False
971,5.8,False
209,7.6,False
665,7.8,False
665,7.6,False
321,7.8,False
997,6.2,False
321,7.6,False
967,7.8,False
971,6.2,False
967,7.6,False
587,7.8,False
688,6.2,False
587,7.6,False
925,7.8,False
331,6.2,False
925,7.6,False
498,7.8,False
