seed,uti,schedulable
126,2.6,True
126,2.8,True
126,2.5,True
126,2.7,True
490,2.6,True
490,2.5,True
490,2.8,True
490,2.7,True
997,2.8,True
997,2.5,True
997,2.7,True
971,2.5,True
490,3.3,True
331,2.5,True
490,2.9,True
971,2.6,True
997,3.0,True
688,2.6,True
331,2.7,True
331,2.6,True
681,2.7,True
681,2.5,True
997,2.9,True
257,2.5,True
681,2.6,True
201,2.5,True
257,2.6,True
534,2.5,True
257,2.7,True
201,2.6,True
201,2.7,True
490,3.1,True
534,2.6,True
696,2.5,True
997,3.1,True
534,2.7,True
723,2.5,True
696,2.7,True
696,2.6,True
310,2.5,True
723,2.6,True
723,2.7,True
490,3.6,True
310,2.6,True
310,2.7,True
116,2.7,True
116,2.5,True
734,2.7,True
235,2.7,True
997,3.3,True
116,2.6,True
734,2.6,True
235,2.6,True
490,3.4,False
734,2.5,True
997,3.9,False
235,2.5,True
167,2.5,True
548,2.6,True
167,2.7,True
39,2.5,True
495,2.5,True
515,2.6,True
548,2.5,True
164,2.6,True
39,2.7,True
515,2.5,True
997,3.7,False
977,2.6,True
495,2.7,True
164,2.5,True
847,2.6,True
233,2.6,True
548,2.7,True
977,2.5,True
457,2.6,True
847,2.5,True
233,2.5,True
515,2.7,True
991,2.6,True
457,2.5,True
315,2.6,True
971,3.3,True
939,2.5,True
977,2.7,True
445,2.6,True
445,2.5,True
688,3.3,True
847,2.7,True
607,2.6,True
490,3.8,False
325,2.6,True
233,2.7,True
457,2.7,True
80,2.6,True
331,3.3,True
315,2.7,True
800,2.6,True
971,3.0,True
939,2.7,True
688,3.0,True
324,2.6,True
209,2.6,True
331,3.0,True
665,2.6,True
445,2.7,True
681,3.0,True
321,2.6,True
971,3.7,False
967,2.6,True
587,2.6,True
257,3.0,True
971,2.9,True
498,2.6,True
688,2.9,True
887,2.6,True
331,2.9,True
201,3.0,True
534,3.0,True
261,2.6,True
681,2.9,True
696,3.0,True
607,2.7,True
325,2.7,True
257,2.9,True
723,3.0,True
80,2.7,True
201,2.9,True
490,3.2,False
266,2.6,True
534,2.9,True
831,2.6,True
696,2.9,True
690,2.6,True
997,3.2,True
607,2.5,False
800,2.7,True
825,2.6,True
325,2.5,True
568,2.6,True
310,3.0,True
209,2.7,True
800,2.5,True
139,2.6,True
688,3.2,True
597,2.6,True
116,3.0,True
324,2.5,True
490,3.5,True
209,2.5,True
997,3.6,False
665,2.5,True
114,2.6,True
357,2.6,True
321,2.5,True
971,3.9,False
967,2.5,True
997,3.4,True
587,2.5,True
331,3.2,True
245,2.6,True
925,2.5,True
681,3.2,True
647,2.6,True
498,2.5,True
887,2.5,True
734,3.0,True
688,3.7,True
665,2.7,True
261,2.5,True
321,2.7,True
989,2.6,True
235,3.0,True
266,2.5,True
311,2.6,True
167,3.0,True
831,2.5,True
967,2.7,True
587,2.7,True
690,2.5,True
431,2.6,True
771,2.6,True
825,2.5,True
925,2.7,True
39,3.0,True
568,2.5,True
997,3.8,False
498,2.7,True
520,2.5,True
495,3.0,True
139,2.5,True
68,2.6,True
887,2.7,True
202,2.6,True
261,2.7,True
727,2.6,True
548,3.0,True
956,2.6,True
515,3.0,True
529,2.6,True
597,2.5,True
276,2.6,True
114,2.5,True
164,3.0,True
400,2.6,True
238,2.6,True
266,2.7,True
977,3.0,True
357,2.5,True
831,2.7,True
210,2.6,True
245,2.5,True
690,2.7,True
825,2.7,True
647,2.5,True
568,2.7,True
971,3.6,False
877,2.6,True
971,3.8,False
997,3.5,False
681,3.3,True
688,3.9,False
847,3.0,True
233,3.0,True
311,2.5,True
971,2.8,False
788,2.6,True
688,2.8,True
457,3.0,True
331,2.8,True
379,2.6,True
431,2.5,True
723,2.9,False
681,2.8,True
771,2.5,True
615,2.6,True
257,2.8,True
795,2.6,True
971,3.4,True
201,2.8,True
888,2.6,True
310,2.9,True
534,2.8,True
696,2.8,True
81,2.6,True
193,2.6,True
723,2.8,True
68,2.5,True
116,2.9,True
616,2.6,True
310,2.8,True
202,2.5,True
496,2.6,True
727,2.5,True
309,2.6,True
226,2.6,True
878,2.6,True
956,2.5,True
116,2.8,True
439,2.6,True
991,3.0,True
529,2.5,True
734,2.8,True
276,2.5,True
93,2.6,True
964,2.6,True
235,2.8,True
315,3.0,True
89,2.6,True
337,2.6,True
939,3.0,True
400,2.5,True
214,2.6,True
238,2.5,True
445,3.0,True
476,2.6,True
210,2.5,True
331,3.9,False
877,2.5,True
872,2.6,True
735,2.5,True
767,2.6,True
607,3.0,True
653,2.6,True
788,2.5,True
520,2.7,True
643,2.6,True
379,2.5,True
359,2.6,True
615,2.5,True
937,2.6,True
139,2.7,True
795,2.5,True
