seed,uti,schedulable
126,7.8,False
490,7.8,False
997,7.8,False
971,7.8,False
688,7.8,False
331,7.8,False
681,7.8,False
257,7.8,False
201,7.8,False
534,7.8,False
696,7.8,False
723,7.8,False
310,7.8,False
116,7.8,False
734,7.8,False
235,7.8,False
167,7.8,False
39,7.8,False
495,7.8,False
548,7.8,False
515,7.8,False
164,7.8,False
977,7.8,False
847,7.8,False
233,7.8,False
457,7.8,False
991,7.8,False
315,7.8,False
939,7.8,False
445,7.8,False
607,7.8,False
325,7.8,False
80,7.8,False
800,7.8,False
324,7.8,False
209,7.8,False
665,7.8,False
321,7.8,False
967,7.8,False
587,7.8,False
925,7.8,False
498,7.8,False
887,7.8,False
261,7.8,False
266,7.8,False
831,7.8,False
690,7.8,False
825,7.8,False
568,7.8,False
520,7.8,False
139,7.8,False
597,7.8,False
114,7.8,False
357,7.8,False
245,7.8,False
647,7.8,False
989,7.8,False
311,7.8,False
431,7.8,False
771,7.8,False
68,7.8,False
202,7.8,False
727,7.8,False
956,7.8,False
529,7.8,False
276,7.8,False
400,7.8,False
238,7.8,False
210,7.8,False
877,7.8,False
735,7.8,False
788,7.8,False
379,7.8,False
615,7.8,False
795,7.8,False
888,7.8,False
81,7.8,False
193,7.8,False
616,7.8,False
496,7.8,False
309,7.8,False
226,7.8,False
878,7.8,False
439,7.8,False
93,7.8,False
964,7.8,False
89,7.8,False
337,7.8,False
214,7.8,False
476,7.8,False
872,7.8,False
767,7.8,False
653,7.8,False
643,7.8,False
359,7.8,False
937,7.8,False
769,7.8,False
850,7.8,False
316,7.8,False
94,7.8,False
126,7.6,False
490,7.6,False
997,7.6,False
971,7.6,False
688,7.6,False
331,7.6,False
681,7.6,False
257,7.6,False
201,7.6,False
534,7.6,False
696,7.6,False
723,7.6,False
310,7.6,False
116,7.6,False
734,7.6,False
235,7.6,False
167,7.6,False
39,7.6,False
495,7.6,False
548,7.6,False
515,7.6,False
164,7.6,False
977,7.6,False
847,7.6,False
233,7.6,False
457,7.6,False
991,7.6,False
315,7.6,False
939,7.6,False
445,7.6,False
607,7.6,False
325,7.6,False
80,7.6,False
800,7.6,False
324,7.6,False
209,7.6,False
665,7.6,False
321,7.6,False
967,7.6,False
587,7.6,False
925,7.6,False
498,7.6,False
887,7.6,False
261,7.6,False
266,7.6,False
831,7.6,False
690,7.6,False
825,7.6,False
568,7.6,False
520,7.6,False
139,7.6,False
597,7.6,False
114,7.6,False
357,7.6,False
245,7.6,False
647,7.6,False
989,7.6,False
311,7.6,False
431,7.6,False
771,7.6,False
68,7.6,False
202,7.6,False
727,7.6,False
956,7.6,False
529,7.6,False
276,7.6,False
400,7.6,False
238,7.6,False
210,7.6,False
877,7.6,False
735,7.6,False
788,7.6,False
379,7.6,False
615,7.6,False
795,7.6,False
888,7.6,False
81,7.6,False
193,7.6,False
616,7.6,False
496,7.6,False
309,7.6,False
226,7.6,False
878,7.6,False
439,7.6,False
93,7.6,False
964,7.6,False
89,7.6,False
337,7.6,False
214,7.6,False
476,7.6,False
872,7.6,False
767,7.6,False
653,7.6,False
643,7.6,False
359,7.6,False
937,7.6,False
769,7.6,False
850,7.6,False
316,7.6,False
94,7.6,False
126,7.2,False
490,7.2,False
997,7.2,False
971,7.2,False
688,7.2,False
331,7.2,False
681,7.2,False
257,7.2,False
201,7.2,False
534,7.2,False
696,7.2,False
723,7.2,False
310,7.2,False
116,7.2,False
734,7.2,False
235,7.2,False
167,7.2,False
39,7.2,False
495,7.2,False
548,7.2,False
515,7.2,False
164,7.2,False
977,7.2,False
847,7.2,False
233,7.2,False
457,7.2,False
991,7.2,False
315,7.2,False
939,7.2,False
445,7.2,False
607,7.2,False
325,7.2,False
80,7.2,False
800,7.2,False
324,7.2,False
209,7.2,False
665,7.2,False
321,7.2,False
967,7.2,False
587,7.2,False
925,7.2,False
498,7.2,False
887,7.2,False
261,7.2,False
266,7.2,False
831,7.2,False
690,7.2,False
825,7.2,False
568,7.2,False
520,7.2,False
139,7.2,False
